sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,name,description,short_description,price,special_price,special_from_date,special_to_date,cost,weight,manufacturer,meta_title,meta_keyword,meta_description,image,small_image,thumbnail,media_gallery,color,news_from_date,news_to_date,gallery,status,url_key,url_path,minimal_price,visibility,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,options_container,required_options,has_options,image_label,small_image_label,thumbnail_label,created_at,updated_at,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,msrp,tax_class_id,gift_message_available,watch_brand,bransom_code,jewellery_type,designer,gender,metal,gemstone,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
4603076,,Jewellery,simple,,Default Category,base,FEWFEF ROSE LITTLE HEART PENDANT,,,120.00,,,,44.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/13,,,,,,,,,CLHHP2R,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603049,,Jewellery,simple,,Default Category,base,FEWFEF ROSE FOX PENDANT,,,125.00,,,,49.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 6/14,,,,,,,,,FOXYPR,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603053,,Jewellery,simple,,Default Category,base,FEWFEF YELLOW GOLD FOX PENDANT,,,125.00,,,,49.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 6/14,,,,,,,,,FOXYPY,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603056,,Jewellery,simple,,Default Category,base,FEWFEF YG PLAIN DISC,,,125.00,,,,50.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 3/13,,,,,,,,,HEP1Y,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603069,,Jewellery,simple,,Default Category,base,FEWFEF VINTAGE BUNNY YELLOW,,,125.00,,,,50.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 7/13,,,,,,,,,CVBP1Y,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603042,,Jewellery,simple,,Default Category,base,FEWFEF LARGE KEY,,,130.00,,,,52.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 4/12,,,,,,,,,CKP3SY,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4603083,,Jewellery,simple,,Default Category,base,FEWFEF YELLOW GV LION PENDANT,,,130.00,,,,54.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 6/14,,,,,,,,,CVLP GVY,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4605002,,Jewellery,simple,,Default Category,base,FEWFEF SILVER TINY RING,,,62.50,,,,26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 5/11,,,,,,,,,WRR2,*ADJUST ME*,,Female,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4605005,,Jewellery,simple,,Default Category,base,FEWFEF SMALL RING SIZE M,,,122.50,,,,48.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/12,,,,,,,,,WRR1R,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4606002,,Jewellery,simple,,Default Category,base,FEWFEF GV STARFISH STUDS,,,55.00,,,,23.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,BCSE5R,*ADJUST ME*,,Female,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4606004,,Jewellery,simple,,Default Category,base,FEWFEF TINY RING,,,87.50,,,,36.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 9/11,,,,,,,,,WRR2R,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4606005,,Jewellery,simple,,Default Category,base,FEWFEF ROSE STARFISH PENDANT,,,90.00,,,,39.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,BCSP7R,*ADJUST ME*,,Female,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4611002,,Jewellery,simple,,Default Category,base,FEWFEF SILVER DROP CLAMSHELLS,,,80.00,,,,32.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,BCLEL,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
