sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,name,description,short_description,price,special_price,special_from_date,special_to_date,cost,weight,manufacturer,meta_title,meta_keyword,meta_description,image,small_image,thumbnail,media_gallery,color,news_from_date,news_to_date,gallery,status,url_key,url_path,minimal_price,visibility,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,options_container,required_options,has_options,image_label,small_image_label,thumbnail_label,created_at,updated_at,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,msrp,tax_class_id,gift_message_available,watch_brand,bransom_code,jewellery_type,designer,gender,metal,gemstone,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
4801010,,Jewellery,simple,,Default Category,base,ASXAS MESH YELLOW SMALL,,,60.00,,,,27.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 8/13,,,,,,,,,NTB410S,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801023,,Jewellery,simple,,Default Category,base,ASXAS LARGE CZ BEAD BLET YELLOW,,,60.00,,,,23.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2/13,,,,,,,,,NTB499Y,*ADJUST ME*,,Female,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801034,,Jewellery,simple,,Default Category,base,ASXAS ROSE MESH SMALL,,,60.00,,,,27.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 9/14,,,,,,,,,NTB410R,*ADJUST ME*,,Female,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801044,,Jewellery,simple,,Default Category,base,ASXAS SHORT MESH,,,60.00,,,,23.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/12,,,,,,,,,NTB410SBR,*ADJUST ME*,,Female,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801053,,Jewellery,simple,,Default Category,base,ASXAS MINI MESH B\'LET 17CM ROSE,,,60.00,,,,25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,NTB410SR,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801088,,Jewellery,simple,,Default Category,base,ASXAS BEAD CZ BAR BLK,,,60.00,,,,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 9/12,,,,,,,,,NTB536B,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801090,,Jewellery,simple,,Default Category,base,ASXAS BEAD CZ BAR ROSE,,,60.00,,,,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 9/12,,,,,,,,,NTB536R,*ADJUST ME*,,Female,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801104,,Jewellery,simple,,Default Category,base,ASXAS MINI MESH 17CM GOLD,,,60.00,,,,25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 7/13,,,,,,,,,NTB410S-Y,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801243,,Jewellery,simple,,Default Category,base,ASXAS SILVER DBL ROW CZ B\'LET,,,60.00,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,NTB935-S,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801011,,Jewellery,simple,,Default Category,base,ASXAS YELLOW SMALL,,,65.00,,,,27.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/12,,,,,,,,,NTB410Y,*ADJUST ME*,,Female,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801054,,Jewellery,simple,,Default Category,base,ASXAS BROWN,,,65.00,,,,25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/12,,,,,,,,,NTB410BR,*ADJUST ME*,,Female,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801057,,Jewellery,simple,,Default Category,base,ASXAS SILVER MINI MESH 19CM,,,65.00,,,,24.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,NTB410-S,*ADJUST ME*,,Female,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801076,,Jewellery,simple,,Default Category,base,ASXAS MINI 19CM BLACK,,,65.00,,,,27.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/12,,,,,,,,,NTB410B,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801139,,Jewellery,simple,,Default Category,base,ASXAS CZ BAR BLET ROSE,,,70.00,,,,19.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/12,,,,,,,,,NTB445R,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801211,,Jewellery,simple,,Default Category,base,ASXAS CZ SET BAR ROSE,,,78.00,,,,28.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 6/14,,,,,,,,,NTB796-R,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801240,,Jewellery,simple,,Default Category,base,ASXAS 8MM LINK BALL BRACELET S,,,79.00,,,,29.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,NTB772-S,*ADJUST ME*,,Female,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801241,,Jewellery,simple,,Default Category,base,ASXAS 8MM LINK BALL BRACELET R,,,79.00,,,,29.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,NTB772-R,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801242,,Jewellery,simple,,Default Category,base,ASXAS 8MM LINK BALL BRACELET Y,,,79.00,,,,29.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,NTB772-Y,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801115,,Jewellery,simple,,Default Category,base,ASXAS MEDIUM MESH 17CM GOLD,,,85.00,,,,33.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/12,,,,,,,,,NTB411S-Y,*ADJUST ME*,,Female,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801205,,Jewellery,simple,,Default Category,base,ASXAS TENNIS B\'LET/ADJUSTER SLV,,,85.00,,,,28.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,NTB789-S,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801206,,Jewellery,simple,,Default Category,base,ASXAS TENNIS B\'LET/ADJUSTER ROS,,,85.00,,,,28.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,NTB789-R,*ADJUST ME*,,Female,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801207,,Jewellery,simple,,Default Category,base,ASXAS TENNIS B\'LET/ADJUSTER YEL,,,85.00,,,,28.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 6/14,,,,,,,,,NTB789-Y,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801232,,Jewellery,simple,,Default Category,base,ASXAS FLATMESH/PAVE CZ BAR ROSE,,,85.00,,,,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/14,,,,,,,,,NTB592-R,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801012,,Jewellery,simple,,Default Category,base,ASXAS MESH MEDIUM,,,90.00,,,,35.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/12,,,,,,,,,NTB411BR,*ADJUST ME*,,Female,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801013,,Jewellery,simple,,Default Category,base,ASXAS MESH MED BLACK,,,90.00,,,,37.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 3/15,,,,,,,,,NTB411B,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801015,,Jewellery,simple,,Default Category,base,ASXAS YELLOW MEDIUM MESH,,,90.00,,,,37.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 7/13,,,,,,,,,NTB411Y,*ADJUST ME*,,Female,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
